episode,reward,steps,epsilon,avg_loss,served,arrivals,avg_wait,deadline_miss_rate,utilization,infeasible_actions
94,-2860.224999999999,200,0.9018333333333334,0.9605869358778,48,79,73.0632911392405,0.8958333333333334,0.5316666666666666,147
95,-2825.8749999999986,200,0.9007777777777778,0.9869835197925567,49,79,72.65822784810126,0.9183673469387755,0.5566666666666666,147
96,-2848.699999999998,200,0.8997222222222222,0.9480092000961303,49,81,68.79012345679013,0.8979591836734694,0.545,141
97,-2855.3749999999995,200,0.8986666666666667,0.9653297287225723,47,78,71.82051282051282,0.8723404255319149,0.54,148
98,-2745.1750000000006,200,0.8976111111111111,0.9831312084197998,50,82,68.71951219512195,0.86,0.57,144
99,-2772.1000000000004,200,0.8965555555555556,0.9596595439314842,49,80,70.65,0.8979591836734694,0.5066666666666667,146
100,-3019.075000000002,200,0.8955,0.9758798992633819,48,78,74.76923076923077,0.8958333333333334,0.525,148
101,-3154.749999999997,200,0.8944444444444445,1.8715541315078736,46,77,74.53246753246754,0.8913043478260869,0.515,151
102,-3060.600000000005,200,0.8933888888888889,1.3161994373798371,45,75,77.34666666666666,0.8666666666666667,0.475,153
103,-3018.550000000005,200,0.8923333333333333,1.3160573843121528,43,75,77.28,0.9302325581395349,0.49,155
104,-3053.874999999998,200,0.8912777777777778,1.2639540123939514,49,79,73.69620253164557,0.8979591836734694,0.5433333333333333,150
105,-3108.425,200,0.8902222222222222,1.240217242538929,44,74,76.71621621621621,0.8636363636363636,0.5233333333333333,146
106,-3000.7000000000025,200,0.8891666666666667,1.2134023854136466,43,75,76.02666666666667,0.8837209302325582,0.49,146
107,-2822.774999999999,200,0.8881111111111111,1.231911392211914,50,80,72.2875,0.9,0.5733333333333334,143
108,-2619.324999999998,200,0.8870555555555556,1.176040157675743,50,81,68.80246913580247,0.86,0.5733333333333334,146
109,-2946.2999999999997,200,0.886,1.2449392145872116,52,83,68.44578313253012,0.9038461538461539,0.5116666666666667,143
110,-2816.3500000000013,200,0.8849444444444444,1.2221036657691002,52,83,68.92771084337349,0.9038461538461539,0.5833333333333334,144
111,-2799.1750000000043,200,0.883888888888889,1.188720760345459,47,79,72.88607594936708,0.9148936170212766,0.5166666666666667,144
112,-2654.9,200,0.8828333333333334,1.2165243580937386,49,80,69.8875,0.8979591836734694,0.5883333333333334,145
113,-2774.0499999999993,200,0.8817777777777778,1.2079973232746124,49,79,72.26582278481013,0.8775510204081632,0.555,146
114,-2790.2999999999947,200,0.8807222222222222,1.2266353860497474,50,82,69.5609756097561,0.88,0.5866666666666667,140
115,-2845.150000000003,200,0.8796666666666667,1.211961649954319,45,76,76.57894736842105,0.8666666666666667,0.5233333333333333,151
116,-2728.2749999999974,200,0.8786111111111111,1.1903496649861336,48,80,70.575,0.8541666666666666,0.545,147
117,-2805.2249999999995,200,0.8775555555555555,1.1467518427968024,49,80,71.375,0.7959183673469388,0.5833333333333334,146
118,-2714.125000000001,200,0.8765000000000001,1.2277181392908096,51,83,69.18072289156626,0.8431372549019608,0.5666666666666667,140
119,-2711.099999999999,200,0.8754444444444445,1.1948261597752572,54,84,69.46428571428571,0.9259259259259259,0.6,142
120,-2883.575000000001,200,0.8743888888888889,1.190380288362503,45,78,74.38461538461539,0.8888888888888888,0.5016666666666667,150
121,-2644.3750000000023,200,0.8733333333333333,1.1839895048737525,48,78,72.51282051282051,0.9166666666666666,0.5183333333333333,150
122,-2833.8749999999955,200,0.8722777777777778,1.1284940946102142,40,71,79.04225352112677,0.875,0.44166666666666665,150
123,-2798.0500000000025,200,0.8712222222222222,1.2054472827911378,47,79,72.10126582278481,0.8723404255319149,0.5566666666666666,144
124,-2774.074999999996,200,0.8701666666666666,1.150332282781601,48,79,72.26582278481013,0.8958333333333334,0.5766666666666667,143
125,-2847.600000000004,200,0.8691111111111112,1.205515610575676,50,81,70.44444444444444,0.88,0.5566666666666666,144
126,-2908.5749999999953,200,0.8680555555555556,1.9637142691016196,47,77,74.8051948051948,0.9148936170212766,0.54,145
127,-2868.674999999999,200,0.867,1.535121824145317,45,76,74.86842105263158,0.9111111111111111,0.5133333333333333,149
128,-2905.5,200,0.8659444444444444,1.4694638547301293,54,85,66.91764705882353,0.9074074074074074,0.5933333333333334,143
129,-2865.4750000000004,200,0.8648888888888889,1.516172363758087,49,81,71.12345679012346,0.8367346938775511,0.5666666666666667,145
130,-3190.3749999999995,200,0.8638333333333333,1.4639737576246261,39,69,83.1304347826087,0.8717948717948718,0.4866666666666667,155
131,-2649.125000000004,200,0.8627777777777779,1.4143321335315704,49,81,69.90123456790124,0.8163265306122449,0.57,141
132,-2889.2499999999977,200,0.8617222222222223,1.4735011634230615,48,78,72.6025641025641,0.8958333333333334,0.5033333333333333,150
133,-2614.075000000002,200,0.8606666666666667,1.3992022037506104,56,87,64.06896551724138,0.8928571428571429,0.5783333333333334,142
134,-2830.2000000000053,200,0.8596111111111111,1.4176827439665793,54,84,68.66666666666667,0.9074074074074074,0.6166666666666667,135
135,-3069.3000000000006,200,0.8585555555555555,1.4568282637000083,49,80,72.725,0.8979591836734694,0.5433333333333333,145
136,-2889.474999999999,200,0.8575,1.4232887971401214,48,81,71.22222222222223,0.8958333333333334,0.5366666666666666,147
137,-2775.0249999999987,200,0.8564444444444445,1.5006572291254998,57,89,64.70786516853933,0.8947368421052632,0.6533333333333333,135
138,-2634.4500000000035,200,0.8553888888888889,1.4631545650959015,48,80,70.45,0.875,0.6366666666666667,149
139,-2682.4249999999956,200,0.8543333333333334,1.447581374645233,49,79,73.9493670886076,0.8775510204081632,0.56,147
140,-2827.325,200,0.8532777777777778,1.4086945781111717,52,82,69.3170731707317,0.9038461538461539,0.5833333333333334,143
141,-2510.1499999999983,200,0.8522222222222222,1.4154283660650253,56,88,62.57954545454545,0.8392857142857143,0.5866666666666667,134
142,-2836.5499999999993,200,0.8511666666666666,1.389277092218399,44,76,75.47368421052632,0.8863636363636364,0.5566666666666666,149
143,-2657.7,200,0.8501111111111112,1.447891096174717,53,85,67.7764705882353,0.8490566037735849,0.635,141
144,-2885.675,200,0.8490555555555556,1.379879175722599,52,83,69.34939759036145,0.9038461538461539,0.62,142
145,-2906.950000000003,200,0.848,1.39470909178257,45,76,76.40789473684211,0.9111111111111111,0.5166666666666667,144
146,-2859.3749999999995,200,0.8469444444444445,1.4105566132068634,54,85,68.25882352941177,0.9074074074074074,0.595,139
147,-2957.250000000001,200,0.8458888888888889,1.3707892024517059,47,78,73.73076923076923,0.9361702127659575,0.535,147
148,-2632.95,200,0.8448333333333333,1.3667577663064003,57,88,63.95454545454545,0.9122807017543859,0.6666666666666666,138
149,-2735.9250000000043,200,0.8437777777777777,1.4709602162241935,49,80,68.275,0.8775510204081632,0.5416666666666666,147
150,-3106.025000000001,200,0.8427222222222222,1.4601234167814254,45,75,75.72,0.9333333333333333,0.47833333333333333,148
151,-2874.750000000003,200,0.8416666666666667,2.1274356549978255,52,83,69.18072289156626,0.9038461538461539,0.595,139
152,-2935.6999999999957,200,0.8406111111111111,1.7649308580160141,51,83,69.42168674698796,0.8823529411764706,0.5933333333333334,139
153,-2948.8250000000007,200,0.8395555555555556,1.6625356358289718,44,76,75.59210526315789,0.8636363636363636,0.48333333333333334,147
154,-2877.525000000005,200,0.8385,1.5831951183080673,44,76,75.46052631578948,0.8636363636363636,0.5,147
155,-2937.7250000000063,200,0.8374444444444444,1.6963095793128014,44,74,78.25675675675676,0.9090909090909091,0.4866666666666667,149
156,-2929.2249999999967,200,0.8363888888888888,1.6384330952167512,47,78,72.88461538461539,0.9148936170212766,0.5533333333333333,147
157,-2798.225000000001,200,0.8353333333333334,1.6526262724399567,56,88,64.9659090909091,0.8928571428571429,0.605,137
158,-2919.1249999999986,200,0.8342777777777778,1.6435457274317742,50,83,68.72289156626506,0.94,0.5733333333333334,143
159,-2681.4250000000025,200,0.8332222222222222,1.6331082484126092,51,81,70.70370370370371,0.9019607843137255,0.5616666666666666,142
160,-2860.5999999999976,200,0.8321666666666667,1.6235664427280425,49,79,71.9873417721519,0.8775510204081632,0.5066666666666667,148
161,-3039.075000000006,200,0.8311111111111111,1.6063635230064393,45,76,76.64473684210526,0.8888888888888888,0.53,151
162,-2654.800000000002,200,0.8300555555555555,1.6516626405715942,55,85,66.91764705882353,0.8909090909090909,0.555,141
163,-2762.150000000001,200,0.829,1.7132364463806153,56,88,65.31818181818181,0.8928571428571429,0.62,134
164,-2585.4999999999973,200,0.8279444444444445,1.5752577230334281,59,92,62.78260869565217,0.9322033898305084,0.6816666666666666,130
165,-2704.3749999999995,200,0.8268888888888889,1.582593212723732,50,80,70.25,0.86,0.535,142
166,-2808.1999999999957,200,0.8258333333333334,1.5823467114567757,50,81,71.32098765432099,0.88,0.59,148
167,-2925.674999999998,200,0.8247777777777778,1.658712829053402,45,77,74.25974025974025,0.8222222222222222,0.53,145
168,-2676.3750000000005,200,0.8237222222222222,1.5974728509783744,55,86,67.13953488372093,0.9090909090909091,0.6266666666666667,137
169,-2961.350000000002,200,0.8226666666666667,1.590272495150566,48,79,73.24050632911393,0.875,0.525,145
170,-2697.0500000000015,200,0.8216111111111111,1.5592613592743874,45,77,73.0,0.8666666666666667,0.53,145
171,-2826.825000000001,200,0.8205555555555556,1.5907849934697151,48,80,70.3375,0.875,0.5466666666666666,146
172,-3034.274999999999,200,0.8195,1.6087587454915047,43,73,78.57534246575342,0.8837209302325582,0.5383333333333333,147
173,-2735.8499999999995,200,0.8184444444444444,1.5913655638694764,51,82,69.6951219512195,0.9019607843137255,0.5783333333333334,146
174,-2745.45,200,0.8173888888888889,1.610424049794674,53,83,68.92771084337349,0.9433962264150944,0.5933333333333334,143
175,-2549.9250000000025,200,0.8163333333333334,1.5672104755043983,52,82,68.39024390243902,0.8461538461538461,0.59,145
176,-3042.7000000000003,200,0.8152777777777778,2.2518052566051483,49,81,70.95061728395062,0.8979591836734694,0.6,147
177,-3045.450000000001,200,0.8142222222222222,1.8461375921964644,51,81,71.44444444444444,0.8823529411764706,0.55,144
178,-2935.1499999999983,200,0.8131666666666667,1.8557120925188064,50,81,70.11111111111111,0.88,0.5116666666666667,146
179,-2582.1999999999994,200,0.8121111111111111,1.8949539533257485,51,83,67.36144578313252,0.8823529411764706,0.5833333333333334,141
