episode,total_reward,steps,initial_ships,total_arrivals,total_ships_seen,ships_handled,ships_remaining,avg_q_value,epsilon
56,8.8,2,6,0,6,6,0,8.16733193397522,0.38125
57,7.5,5,6,3,9,9,0,9.041168117523194,0.37
58,9.3,7,9,5,14,14,0,7.907307386398315,0.35875
59,10.3,7,8,11,19,19,0,9.354246003287178,0.34750000000000003
60,-8.000000000000012,30,12,39,51,51,0,9.951880888144176,0.33624999999999994
61,7.7,3,8,0,8,8,0,9.280267715454102,0.32499999999999996
62,5.9,11,11,12,23,23,0,9.993432673540982,0.31375
63,1.8000000000000003,12,10,12,22,22,0,10.371721744537354,0.3025
64,-0.5999999999999983,6,12,2,14,14,0,7.618688901265462,0.29125
65,7.3,7,12,6,18,18,0,9.31671931062426,0.2799999999999999
66,8.100000000000001,9,12,9,21,21,0,9.0004510084788,0.26874999999999993
67,11.3,7,8,8,16,16,0,10.461379051208496,0.25750000000000006
68,11.4,6,8,6,14,14,0,10.195739110310873,0.24624999999999997
69,-10.600000000000003,6,12,4,16,16,0,7.369217038154602,0.235
70,19.099999999999998,9,7,11,18,18,0,10.208836131625706,0.2237499999999999
71,9.2,8,10,10,20,20,0,12.217580378055573,0.21250000000000002
72,8.6,4,9,1,10,10,0,11.622886657714844,0.20125000000000004
73,7.4,6,8,6,14,14,0,12.12592633565267,0.18999999999999995
74,11.400000000000002,6,7,3,10,10,0,11.616866906483969,0.17874999999999996
75,12.5,5,8,4,12,12,0,12.291691780090332,0.16749999999999998
76,5.300000000000001,7,8,7,15,15,0,12.538247517177037,0.15625
77,6.5,5,9,2,11,11,0,12.980558013916015,0.14500000000000002
78,9.400000000000002,6,6,3,9,9,0,12.013570308685303,0.13374999999999992
79,12.200000000000001,8,9,8,17,17,0,11.939510941505432,0.12250000000000005
80,11.6,4,6,4,10,10,0,12.99984359741211,0.11124999999999996
81,10.6,4,5,3,8,8,0,12.599247217178345,0.09999999999999998
82,17.0,10,5,13,18,18,0,13.261752891540528,0.09999999999999998
83,8.8,2,5,1,6,6,0,15.468826293945312,0.09999999999999998
84,13.200000000000001,8,10,7,17,17,0,12.907528042793274,0.09999999999999998
85,7.5,5,5,4,9,9,0,14.38713493347168,0.09999999999999998
86,3.3000000000000016,7,12,8,20,20,0,12.73307010105678,0.09999999999999998
87,6.900000000000002,11,12,14,26,26,0,12.313053261150014,0.09999999999999998
88,13.3,7,9,10,19,19,0,14.126181874956403,0.09999999999999998
89,8.8,2,5,1,6,6,0,15.550076484680176,0.09999999999999998
90,10.5,5,7,4,11,11,0,13.434392929077148,0.09999999999999998
91,14.900000000000002,11,10,11,21,21,0,12.965165918523615,0.09999999999999998
92,10.3,7,9,9,18,18,0,14.553583690098353,0.09999999999999998
93,5.5,5,10,5,15,15,0,14.813508605957031,0.09999999999999998
94,22.1,9,6,14,20,20,0,14.405234654744467,0.09999999999999998
95,-16.800000000000004,8,10,5,15,15,0,13.035110831260681,0.09999999999999998
96,8.4,6,10,3,13,13,0,13.091912269592285,0.09999999999999998
97,18.0,10,6,12,18,18,0,14.551222801208496,0.09999999999999998
98,10.600000000000001,4,6,3,9,9,0,15.07286524772644,0.09999999999999998
99,9.600000000000001,4,8,4,12,12,0,15.942941665649414,0.09999999999999998
100,9.400000000000002,6,6,4,10,10,0,15.034907817840576,0.09999999999999998
